X,Y,OBJECTID,RADICADO,FECHA,HORA,DIA,PERIODO,CLASE,DIRECCION,DIRECCION_ENC,CBML,TIPO_GEOCOD,GRAVEDAD,BARRIO,COMUNA,DISENO,DIA_NOMBRE,MES,MES_NOMBRE,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
-75.5581550749768,6.24793948146704,826095,1709869,2020/02/26 00:00:00+00,03:30:00,26,2020,Choque,CR 39 CL 54,CR  039   054  000 00000,1016,Malla vial,SOLO DAÑOS,Boston,La Candelaria,Tramo de via,MIÉRCOLES,02,FEBRERO   ,836123.79,1182888.74,-75.55815508,6.24793948
-75.5823192920851,6.25607005540788,826096,1721657,2020/08/27 00:00:00+00,08:00:00,27,2020,Choque,CR 66 CL 49 B,CR  066   049 B  000 00000,1102,Malla vial,CON HERIDOS,Suramericana,Laureles Estadio,Interseccion,JUEVES   ,08,AGOSTO    ,833449.11,1183788.12,-75.58231929,6.25607006
-75.5902660348266,6.19629395700236,826097,1728870,2020/11/11 00:00:00+00,05:00:00,11,2020,Caida Ocupante,CR 52 CL 12 B Sur,CR  052  S 012 B  000 00000,1510,EPM sin Interior,CON HERIDOS,Guayabal,Guayabal,Tramo de via,MIÉRCOLES,11,NOVIEMBRE ,832569.19,1177176.1,-75.59026604,6.19629396
-75.5568306852757,6.26280642728687,826098,1722389,2020/09/04 00:00:00+00,09:25:00,04,2020,Caida Ocupante,CL 67 CR 46,CL  067   046  000 00000,409,Malla vial aproximada: CL 67-45,CON HERIDOS,Manrique Central No. 1,Aranjuez,Tramo de via,VIERNES  ,09,SEPTIEMBRE,836270.36,1184533.23,-75.55683069,6.26280643
-75.5762344563567,6.21270470857872,826099,1716190,2020/06/11 00:00:00+00,08:35:00,11,2020,Caida Ocupante,CR 48 CL 7,CR  048   007  000 00000,1421,Malla vial,CON HERIDOS,Patio Bonito,El Poblado,Tramo de via,JUEVES   ,06,JUNIO     ,834122.52,1178991.3,-75.57623446,6.21270471
-75.5660482187112,6.26076352183522,826100,1713971,2020/05/02 00:00:00+00,12:00:00,02,2020,Choque,CL 62 CR 51 D,CL  062   051 D  000 00000,1003,Malla vial,SOLO DAÑOS,Jesús Nazareno,La Candelaria,Tramo de via,SÁBADO   ,05,MAYO      ,835250.11,1184307.25,-75.56604822,6.26076352
-75.570390522909,6.28919423925628,826101,1716597,2020/06/16 00:00:00+00,07:30:00,16,2020,Choque,CR 64 C CL 95,CR  064 C   095  000 00000,511,Malla vial aproximada: CR 65-95,SOLO DAÑOS,Castilla,Castilla,Tramo de via,MARTES   ,06,JUNIO     ,834769.51,1187452.08,-75.57039052,6.28919424
-75.5830277234402,6.21248890351055,826102,1714216,2020/05/13 00:00:00+00,09:15:00,13,2020,Otro,CR 52 CL 7,CR  052   007  000 00000,1507,Malla vial,CON HERIDOS,Campo Amor,Guayabal,Lote o Predio,MIÉRCOLES,05,MAYO      ,833370.53,1178967.45,-75.58302772,6.2124889
-75.7038158742467,6.22180566397042,826103,1716859,2020/06/21 00:00:00+00,05:00:00,21,2020,Atropello,CL 96 CR 108 A,CL  096   108 A  000 00000,,No Ubicada,CON HERIDOS,Sin Inf,Sin Inf,Tramo de via,DOMINGO  ,06,JUNIO     ,820000,1180000,-75.70381587,6.22180566
-75.6220829964779,6.25784749336541,826104,1729873,2020/11/22 00:00:00+00,11:40:00,22,2020,Otro,CR 108 CL 44 A,CR  108   044 A  000 00000,1318,No ubicada,CON HERIDOS,Antonio Nariño,San Javier,Lote o Predio,DOMINGO  ,11,NOVIEMBRE ,829047.8,1183985.04,-75.622083,6.25784749
-75.6047992065146,6.24985233481302,826105,1716091,2020/06/10 00:00:00+00,11:45:00,10,2020,Choque,CR 84 CL 43,CR  084   043  000 00000,1204,Malla vial,CON HERIDOS,La América,La América,Tramo de via,MIÉRCOLES,06,JUNIO     ,830960.82,1183100.49,-75.60479921,6.24985234
